Id,Year,Ndomains,Complexity,Rating,D_Wargames,D_Family Games,D_Strategy Games,D_Thematic Games,D_Abstract Games,D_Childrens Games,D_Party Games,D_Customizable Games
174430,2017,2,3.86,8.79,0,0,1,1,0,0,0,0
161936,2015,2,2.84,8.61,0,0,1,1,0,0,0,0
224517,2018,1,3.91,8.66,0,0,1,0,0,0,0,0
167791,2016,1,3.24,8.43,0,0,1,0,0,0,0,0
291457,2020,2,3.55,8.87,0,0,1,1,0,0,0,0
182028,2015,1,4.41,8.43,0,0,1,0,0,0,0,0
220308,2017,1,4.35,8.49,0,0,1,0,0,0,0,0
187645,2016,1,3.71,8.42,0,0,0,1,0,0,0,0
12333,2005,2,3.59,8.29,1,0,1,0,0,0,0,0
193738,2016,1,3.71,8.3,0,0,1,0,0,0,0,0
115746,2011,2,4.14,8.49,1,0,0,1,0,0,0,0
162886,2017,1,4.01,8.35,0,0,1,0,0,0,0,0
169786,2016,1,3.41,8.24,0,0,1,0,0,0,0,0
84876,2011,1,3.0,8.13,0,0,1,0,0,0,0,0
120677,2012,1,3.96,8.14,0,0,1,0,0,0,0,0
173346,2015,1,2.23,8.11,0,0,1,0,0,0,0,0
124361,2013,1,3.03,8.12,0,0,1,0,0,0,0,0
28720,2007,1,3.86,8.17,0,0,1,0,0,0,0,0
266192,2019,2,2.42,8.11,0,1,1,0,0,0,0,0
177736,2016,1,3.84,8.2,0,0,1,0,0,0,0,0
205637,2016,2,3.44,8.17,0,0,0,1,0,0,0,1
183394,2015,1,2.91,8.08,0,0,1,0,0,0,0,0
167355,2018,1,3.35,8.4,0,0,0,1,0,0,0,0
164928,2014,1,3.05,8.09,0,0,1,0,0,0,0,0
96848,2011,2,4.31,8.1,0,0,1,1,0,0,0,0
237182,2018,2,3.67,8.1,1,0,1,0,0,0,0,0
3076,2002,1,3.28,7.99,0,0,1,0,0,0,0,0
175914,2015,1,4.2,8.14,0,0,1,0,0,0,0,0
102794,2013,1,3.79,8.02,0,0,1,0,0,0,0,0
31260,2007,1,3.64,7.94,0,0,1,0,0,0,0,0
170216,2015,1,2.88,8.0,0,0,1,0,0,0,0,0
205059,2016,1,2.69,8.06,0,0,0,1,0,0,0,0
221107,2017,2,3.25,8.15,0,0,1,1,0,0,0,0
199792,2018,2,2.81,8.08,0,1,1,0,0,0,0,0
276025,2019,1,3.87,8.29,0,0,1,0,0,0,0,0
55690,2015,1,4.25,8.66,0,0,0,1,0,0,0,0
2651,2004,1,3.27,7.86,0,0,1,0,0,0,0,0
126163,2012,1,3.67,7.9,0,0,1,0,0,0,0,0
284083,2019,1,1.99,8.02,0,1,0,0,0,0,0,0
209010,2016,2,2.41,8.05,0,0,1,1,0,0,0,0
247763,2018,1,3.58,8.13,0,0,1,0,0,0,0,0
164153,2014,1,3.3,8.02,0,0,0,1,0,0,0,0
216132,2017,1,3.46,8.01,0,0,1,0,0,0,0,0
185343,2017,1,4.0,8.1,0,0,1,0,0,0,0,0
35677,2008,1,3.74,7.87,0,0,1,0,0,0,0,0
192135,2017,2,3.85,8.45,0,0,1,1,0,0,0,0
25613,2006,1,4.17,7.93,0,0,1,0,0,0,0,0
230802,2017,2,1.77,7.83,0,1,0,0,1,0,0,0
285774,2019,1,2.8,8.2,0,0,0,0,0,0,0,1
72125,2011,1,3.7,7.89,0,0,1,0,0,0,0,0
266507,2019,1,2.7,8.79,0,0,0,1,0,0,0,0
124742,2012,1,3.38,7.87,0,0,0,0,0,0,0,1
121921,2012,1,3.78,7.84,0,0,0,1,0,0,0,0
171623,2015,1,3.19,7.87,0,0,1,0,0,0,0,0
125153,2015,1,4.28,8.04,0,0,1,0,0,0,0,0
251247,2019,1,4.02,8.22,0,0,1,0,0,0,0,0
28143,2007,1,2.98,7.76,0,0,1,0,0,0,0,0
159675,2014,1,3.88,8.09,0,0,1,0,0,0,0,0
68448,2010,2,2.33,7.75,0,1,1,0,0,0,0,0
229853,2018,1,3.77,7.95,0,0,1,0,0,0,0,0
201808,2016,2,2.21,7.81,0,1,1,0,0,0,0,0
244521,2018,1,1.94,7.82,0,1,0,0,0,0,0,0
521,1876,1,1.25,7.91,0,1,0,0,0,0,0,0
157354,2014,1,2.86,7.78,0,0,1,0,0,0,0,0
62219,2010,1,4.04,7.85,0,0,1,0,0,0,0,0
184267,2020,1,4.63,8.3,0,0,1,0,0,0,0,0
161533,2017,1,4.57,8.18,0,0,1,0,0,0,0,0
191189,2016,1,2.76,8.02,0,0,1,0,0,0,0,0
110327,2012,1,2.46,7.75,0,0,1,0,0,0,0,0
266810,2019,1,3.67,8.07,0,0,1,0,0,0,0,0
122515,2012,1,3.35,7.8,0,0,1,0,0,0,0,0
200680,2016,1,3.5,8.04,0,0,1,0,0,0,0,0
256960,2019,1,3.75,8.43,0,0,1,0,0,0,0,0
264220,2019,1,3.28,8.41,0,0,0,1,0,0,0,0
18602,2005,1,3.8,7.77,0,0,1,0,0,0,0,0
236457,2018,1,2.77,7.83,0,0,1,0,0,0,0,0
93,1995,1,3.05,7.75,0,0,1,0,0,0,0,0
12493,2005,2,4.25,7.84,0,0,1,1,0,0,0,0
37111,2008,1,3.24,7.74,0,0,0,1,0,0,0,0
146021,2013,1,3.32,7.81,0,0,0,1,0,0,0,0
73439,2010,1,3.46,7.76,0,0,1,0,0,0,0,0
205896,2018,1,3.28,7.88,0,0,1,0,0,0,0,0
40834,2009,1,2.42,7.72,0,0,1,0,0,0,0,0
172386,2015,1,3.9,7.88,0,0,1,0,0,0,0,0
182874,2015,1,3.22,7.85,0,0,1,0,0,0,0,0
269385,2019,1,2.57,8.08,0,0,0,1,0,0,0,0
163412,2014,2,1.64,7.66,0,1,0,0,1,0,0,0
170042,2015,1,2.53,7.79,0,0,1,0,0,0,0,0
144733,2013,1,3.41,7.77,0,0,1,0,0,0,0,0
42,1997,1,3.51,7.7,0,0,1,0,0,0,0,0
178900,2015,1,1.29,7.62,0,0,0,0,0,0,1,0
132531,2014,1,2.77,7.67,0,0,1,0,0,0,0,0
102680,2011,1,3.65,7.76,0,0,1,0,0,0,0,0
203993,2016,1,3.28,7.89,0,0,1,0,0,0,0,0
2511,1982,1,2.68,7.73,0,0,0,1,0,0,0,0
36218,2008,1,2.36,7.62,0,0,1,0,0,0,0,0
30549,2008,2,2.41,7.61,0,1,1,0,0,0,0,0
198928,2016,1,2.58,7.92,0,0,1,0,0,0,0,0
172287,2015,1,2.59,7.77,0,0,1,0,0,0,0,0
225694,2018,1,1.83,7.79,0,0,0,0,0,0,1,0
127023,2012,1,3.01,7.72,0,0,1,0,0,0,0,0
196340,2016,1,3.27,7.85,0,0,1,0,0,0,0,0
233371,2017,2,2.54,7.86,0,1,1,0,0,0,0,0
175155,2015,1,3.83,7.97,0,0,1,0,0,0,0,0
155821,2016,1,2.88,7.8,0,0,1,0,0,0,0,0
281259,2019,2,2.32,8.04,0,1,1,0,0,0,0,0
103885,2012,2,2.49,7.69,1,0,0,0,0,0,0,1
161970,2014,1,3.9,7.67,0,0,1,0,0,0,0,0
34635,2008,2,2.48,7.57,0,1,1,0,0,0,0,0
146652,2014,1,2.7,7.79,0,0,0,1,0,0,0,0
175640,2016,1,4.05,8.21,0,0,1,0,0,0,0,0
233398,2018,1,2.8,8.02,0,0,1,0,0,0,0,0
147020,2014,1,1.94,7.58,0,0,1,0,0,0,0,0
104162,2012,1,3.2,7.69,0,0,0,1,0,0,0,0
263918,2019,1,1.91,7.76,0,1,0,0,0,0,0,0
262712,2019,1,2.59,7.8,0,0,1,0,0,0,0,0
4098,2002,1,3.9,7.78,0,0,1,0,0,0,0,0
148949,2014,2,2.58,7.58,0,1,1,0,0,0,0,0
14996,2005,1,1.94,7.55,0,1,0,0,0,0,0,0
150376,2014,1,3.02,7.57,0,0,0,1,0,0,0,0
118048,2012,1,2.35,7.64,0,0,1,0,0,0,0,0
9609,2004,2,3.85,7.77,1,0,0,1,0,0,0,0
43111,2009,2,3.19,7.68,0,0,1,1,0,0,0,0
233867,2018,1,1.82,7.61,0,1,0,0,0,0,0,0
244522,2018,1,1.89,7.64,0,1,0,0,0,0,0,0
163068,2015,1,4.2,7.89,0,0,1,0,0,0,0,0
77423,2011,1,3.17,7.65,0,0,0,0,0,0,0,1
17133,2005,1,3.02,7.69,0,0,1,0,0,0,0,0
128882,2012,1,1.77,7.58,0,0,0,0,0,0,1,0
218417,2017,1,2.91,8.41,0,0,1,0,0,0,0,0
221194,2017,2,3.04,7.72,0,0,1,1,0,0,0,0
266524,2019,1,2.17,7.89,0,1,0,0,0,0,0,0
103343,2011,1,3.72,7.6,0,0,1,0,0,0,0,0
155426,2014,1,2.66,7.56,0,0,1,0,0,0,0,0
246900,2020,1,3.48,8.8,0,0,1,0,0,0,0,0
54043,2009,1,1.49,7.51,0,1,0,0,0,0,0,0
43015,2009,1,3.12,7.65,0,0,1,0,0,0,0,0
10630,2004,1,2.27,7.56,1,0,0,0,0,0,0,0
70149,2011,1,3.9,7.71,0,0,1,0,0,0,0,0
239188,2018,1,2.11,7.8,0,0,0,1,0,0,0,0
14105,2006,1,2.69,7.78,1,0,0,0,0,0,0,0
39463,2008,2,2.57,7.54,0,0,1,1,0,0,0,0
146508,2015,1,2.61,7.55,0,0,0,1,0,0,0,0
199561,2017,2,1.93,7.53,0,1,0,0,1,0,0,0
82222,2014,2,3.17,7.86,0,0,1,1,0,0,0,0
123260,2012,1,2.78,7.52,0,0,1,0,0,0,0,0
188920,2017,1,3.25,7.83,0,0,0,1,0,0,0,0
287954,2019,2,2.05,7.83,0,1,0,0,1,0,0,0
126042,2013,1,3.54,7.64,0,0,1,0,0,0,0,0
